"","FY","State","StateName","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"143","2009","PA","Pennsylvania",995135.358482412,3508671.05102744,1483206.96639465,47829.40212,102054.2547622,0,156149.70746,81538.618167989,1637892.1021226,228606.792621177
"144","2009","RI","Rhode Island",73957.3448365791,342704.752587741,151783.310408734,13236.49361,8459.34619853218,0,9384.89593,6144.83364853936,153695.872791936,19406.386486537
"145","2009","SC","South Carolina",408746.805882664,1889272.63701764,1021050.68103221,13491.52844,82272.0685194559,0,43256.25247,27632.4155116708,701569.691044301,104587.19744693
"146","2009","SD","South Dakota",72703.5092995495,434343.124753891,165284.848490155,1772.75262,12980.7767888999,0,9178.71856,5338.16193233448,239787.866362502,28828.4582429142
"147","2009","TN","Tennessee",501906.971476493,2249313.78799999,1108174.61163218,14584.65793,83925.1788405295,0,57775.22575,30270.372529803,954583.741317484,118822.34917994
"148","2009","TX","Texas",1701675.45225725,8116633.16716852,4188343.27680602,50006.31958,390709.848006581,328210.95533,209729.26888,105838.009012899,2843795.48955302,383372.674829693
"149","2009","UT","Utah",155052.459041073,590464.077036922,231578.780879167,3042.36926,30647.2782315474,0,40137.97418,10293.6061452185,274764.068340989,31153.4629957089
"150","2009","VT","Vermont",53221.6987437204,220228.980282212,92138.4674065289,2286.12532,22478.4967579527,0,5358.39109,4085.15046403833,93882.3492436925,14193.1335748273
"151","2009","VA","Virginia",819490.473432949,2890512.31311517,1577060.78607995,12962.87421,204380.82376275,0,116031.35754,62761.097612512,917315.373909955,120897.245848312
"152","2009","WA","Washington",637019.170392595,2235252.58389976,1234388.68216226,29270.74377,119510.039428014,0,45480.89865,43475.9533271949,763126.266562284,97210.009388794
"153","2009","WV","West Virginia",170783.441513713,1212615.53773302,475629.030507145,8474.78739,73163.8648218687,0,140656.77479,8633.60396385139,506057.476260154,57624.9026510223
"154","2009","WI","Wisconsin",427527.441744538,1682803.66460776,744492.503977706,6694.57405,62958.6887249359,0,46960.5719,32551.4084053011,789145.917549814,108414.851570937
